,model,task,n,rate,row_ci_lo,row_ci_hi,row_ci_width,cluster_ci_lo,cluster_ci_hi,cluster_ci_width,width_ratio
39,gpt54nano,debate,690,0.1754,0.1464,0.2029,0.0566,0.0681,0.3043,0.2362,4.1768
40,Claude-Opus-4.7,sales,225,0.16,0.1156,0.2089,0.0933,0.0356,0.3156,0.28,3.0
41,DeepSeek-V4-Pro,sales,225,0.2756,0.2222,0.329,0.1068,0.12,0.4622,0.3422,3.205
42,GPT-5.5,sales,225,0.1333,0.0889,0.1778,0.0889,0.0,0.3244,0.3244,3.65
43,Gemini-3.1-Pro,sales,225,0.3511,0.2933,0.4133,0.12,0.1822,0.529,0.3468,2.8898
44,Grok-4,sales,225,0.2,0.1467,0.2533,0.1067,0.0533,0.3822,0.3289,3.0833
45,Llama-3.3-70B,sales,225,0.36,0.2977,0.4178,0.1201,0.2,0.5333,0.3333,2.7752
46,gpt41,sales,225,0.1644,0.1156,0.2178,0.1022,0.0444,0.3112,0.2668,2.6098
47,gpt41mini,sales,225,0.2,0.1511,0.2533,0.1022,0.0756,0.3512,0.2757,2.6967
48,gpt41nano,sales,225,0.3111,0.2533,0.3733,0.12,0.1688,0.4623,0.2936,2.4463
49,gpt54mini,sales,225,0.1733,0.1289,0.2222,0.0933,0.0667,0.329,0.2623,2.8107
50,gpt54nano,sales,225,0.1422,0.1022,0.1911,0.0889,0.0311,0.3022,0.2711,3.05
51,haiku35,sales,225,0.4044,0.3378,0.4711,0.1333,0.1732,0.64,0.4668,3.5008
52,haiku45,sales,225,0.2044,0.1556,0.2622,0.1067,0.0754,0.3734,0.298,2.7937
53,sonnet37,sales,225,0.3644,0.3067,0.4312,0.1246,0.1422,0.5822,0.44,3.5326
54,sonnet46,sales,225,0.3422,0.28,0.4089,0.1289,0.1644,0.5157,0.3512,2.725
55,Claude-Opus-4.7,village,90,0.5556,0.4556,0.6556,0.2,,,,
56,DeepSeek-V4-Pro,village,83,0.6024,0.494,0.6988,0.2048,,,,
57,GPT-5.5,village,89,0.6742,0.573,0.7643,0.1913,,,,
58,Gemini-3.1-Pro,village,90,0.7556,0.6667,0.8444,0.1778,,,,
59,Grok-4,village,90,0.6667,0.5667,0.7669,0.2003,,,,
60,Llama-3.3-70B,village,87,0.4598,0.3563,0.5517,0.1954,,,,
61,gpt41,village,89,0.4719,0.3596,0.573,0.2135,,,,
62,gpt41mini,village,89,0.3034,0.2135,0.4045,0.191,,,,
63,gpt41nano,village,88,0.1932,0.1136,0.2727,0.1591,,,,
64,gpt54mini,village,89,0.7416,0.6517,0.8315,0.1798,,,,
65,gpt54nano,village,85,0.7176,0.6235,0.8118,0.1882,,,,
