,model_a,model_b,n_scenarios,rate_a_paired,rate_b_paired,mean_delta,ci_lo,ci_hi,frac_a_higher,frac_tied,significant
26,DeepSeek-V4-Pro,sonnet46,180,0.75,0.7111,0.0389,-0.0167,0.1,0.0889,0.8611,False
27,GPT-5.5,Gemini-3.1-Pro,180,0.6222,0.9,-0.2778,-0.3444,-0.2111,0.0,0.7222,True
28,GPT-5.5,Grok-4,176,0.6193,0.8011,-0.1818,-0.2443,-0.1193,0.0114,0.7955,True
29,GPT-5.5,Llama-3.3-70B,180,0.6222,0.6167,0.0056,-0.0667,0.0722,0.1111,0.7833,False
30,GPT-5.5,gpt41,178,0.618,0.4551,0.1629,0.1124,0.2136,0.1629,0.8371,True
31,GPT-5.5,gpt41mini,125,0.72,0.472,0.248,0.1678,0.336,0.28,0.688,True
32,GPT-5.5,gpt41nano,179,0.6257,0.2626,0.3631,0.2961,0.4359,0.3631,0.6369,True
33,GPT-5.5,gpt54mini,180,0.6222,0.4944,0.1278,0.0611,0.1944,0.1778,0.7722,True
34,GPT-5.5,gpt54nano,180,0.6222,0.5389,0.0833,0.0333,0.1333,0.1056,0.8722,True
35,GPT-5.5,haiku35,180,0.6222,0.4333,0.1889,0.1276,0.2556,0.2111,0.7667,True
36,GPT-5.5,haiku45,180,0.6222,0.4333,0.1889,0.1222,0.2556,0.2222,0.7444,True
37,GPT-5.5,sonnet37,167,0.6647,0.7126,-0.0479,-0.1019,0.006,0.0419,0.8683,False
38,GPT-5.5,sonnet46,180,0.6222,0.7111,-0.0889,-0.1389,-0.0389,0.0167,0.8778,True
39,Gemini-3.1-Pro,Grok-4,176,0.8977,0.8011,0.0966,0.0511,0.1477,0.1023,0.892,True
40,Gemini-3.1-Pro,Llama-3.3-70B,180,0.9,0.6167,0.2833,0.2165,0.35,0.2889,0.7056,True
41,Gemini-3.1-Pro,gpt41,178,0.8989,0.4551,0.4438,0.3708,0.5169,0.4438,0.5562,True
42,Gemini-3.1-Pro,gpt41mini,125,0.92,0.472,0.448,0.3598,0.536,0.456,0.536,True
43,Gemini-3.1-Pro,gpt41nano,179,0.8994,0.2626,0.6369,0.5698,0.7095,0.6369,0.3631,True
44,Gemini-3.1-Pro,gpt54mini,180,0.9,0.4944,0.4056,0.3333,0.4833,0.4111,0.5833,True
45,Gemini-3.1-Pro,gpt54nano,180,0.9,0.5389,0.3611,0.2889,0.4333,0.3611,0.6389,True
46,Gemini-3.1-Pro,haiku35,180,0.9,0.4333,0.4667,0.3944,0.55,0.4722,0.5222,True
47,Gemini-3.1-Pro,haiku45,180,0.9,0.4333,0.4667,0.3889,0.5444,0.4722,0.5222,True
48,Gemini-3.1-Pro,sonnet37,167,0.9162,0.7126,0.2036,0.1437,0.2695,0.2096,0.7844,True
49,Gemini-3.1-Pro,sonnet46,180,0.9,0.7111,0.1889,0.1333,0.2444,0.1889,0.8111,True
50,Grok-4,Llama-3.3-70B,176,0.8011,0.6193,0.1818,0.1193,0.2443,0.1989,0.7841,True
51,Grok-4,gpt41,174,0.7989,0.4598,0.3391,0.2701,0.408,0.3391,0.6609,True
52,Grok-4,gpt41mini,122,0.8115,0.4836,0.3279,0.2459,0.4098,0.3361,0.6557,True
53,Grok-4,gpt41nano,175,0.8,0.2686,0.5314,0.4571,0.6114,0.5314,0.4686,True
54,Grok-4,gpt54mini,176,0.8011,0.5,0.3011,0.233,0.3636,0.3011,0.6989,True
55,Grok-4,gpt54nano,176,0.8011,0.5398,0.2614,0.1987,0.3295,0.267,0.7273,True
56,Grok-4,haiku35,176,0.8011,0.4375,0.3636,0.2955,0.432,0.3636,0.6364,True
57,Grok-4,haiku45,176,0.8011,0.4375,0.3636,0.2898,0.4375,0.3636,0.6364,True
58,Grok-4,sonnet37,163,0.8282,0.7117,0.1166,0.0552,0.1779,0.1411,0.8344,True
59,Grok-4,sonnet46,176,0.8011,0.7102,0.0909,0.0341,0.1364,0.1136,0.8636,True
60,Llama-3.3-70B,gpt41,178,0.618,0.4551,0.1629,0.1067,0.2247,0.1798,0.8034,True
61,Llama-3.3-70B,gpt41mini,125,0.672,0.472,0.2,0.12,0.28,0.216,0.768,True
62,Llama-3.3-70B,gpt41nano,179,0.6201,0.2626,0.3575,0.2905,0.4302,0.3631,0.6313,True
63,Llama-3.3-70B,gpt54mini,180,0.6167,0.4944,0.1222,0.061,0.1833,0.1611,0.8,True
64,Llama-3.3-70B,gpt54nano,180,0.6167,0.5389,0.0778,0.0111,0.1389,0.1444,0.7889,True
65,Llama-3.3-70B,haiku35,180,0.6167,0.4333,0.1833,0.1278,0.2389,0.1889,0.8056,True
66,Llama-3.3-70B,haiku45,180,0.6167,0.4333,0.1833,0.1167,0.2556,0.2222,0.7389,True
67,Llama-3.3-70B,sonnet37,167,0.6527,0.7126,-0.0599,-0.1377,0.006,0.0719,0.7964,False
68,Llama-3.3-70B,sonnet46,180,0.6167,0.7111,-0.0944,-0.1556,-0.0333,0.0611,0.7833,True
69,gpt41,gpt41mini,124,0.5887,0.4677,0.121,0.0484,0.1935,0.1532,0.8145,True
70,gpt41,gpt41nano,177,0.4576,0.2599,0.1977,0.1412,0.2599,0.1977,0.8023,True
71,gpt41,gpt54mini,178,0.4551,0.4944,-0.0393,-0.0955,0.0056,0.0449,0.8708,False
72,gpt41,gpt54nano,178,0.4551,0.5337,-0.0787,-0.1348,-0.0281,0.0281,0.8652,True
73,gpt41,haiku35,178,0.4551,0.4326,0.0225,-0.0225,0.073,0.0618,0.8989,False
74,gpt41,haiku45,178,0.4551,0.4326,0.0225,-0.0337,0.073,0.0787,0.8652,False
75,gpt41,sonnet37,165,0.4848,0.7091,-0.2242,-0.2909,-0.1636,0.0,0.7758,True
76,gpt41,sonnet46,178,0.4551,0.7079,-0.2528,-0.3146,-0.191,0.0,0.7472,True
77,gpt41mini,gpt41nano,124,0.4758,0.379,0.0968,0.0403,0.1532,0.1048,0.8871,True
78,gpt41mini,gpt54mini,125,0.472,0.552,-0.08,-0.16,-0.008,0.056,0.808,True
79,gpt41mini,gpt54nano,125,0.472,0.616,-0.144,-0.224,-0.064,0.04,0.776,True
80,gpt41mini,haiku35,125,0.472,0.52,-0.048,-0.128,0.024,0.064,0.824,False
81,gpt41mini,haiku45,125,0.472,0.504,-0.032,-0.12,0.0562,0.112,0.744,False
82,gpt41mini,sonnet37,115,0.513,0.8261,-0.313,-0.4,-0.2259,0.0087,0.6696,True
83,gpt41mini,sonnet46,125,0.472,0.776,-0.304,-0.392,-0.216,0.016,0.664,True
84,gpt41nano,gpt54mini,179,0.2626,0.4972,-0.2346,-0.2961,-0.1732,0.0056,0.7542,True
85,gpt41nano,gpt54nano,179,0.2626,0.5419,-0.2793,-0.352,-0.2123,0.0056,0.7095,True
86,gpt41nano,haiku35,179,0.2626,0.4358,-0.1732,-0.2402,-0.1173,0.0112,0.8045,True
87,gpt41nano,haiku45,179,0.2626,0.4358,-0.1732,-0.2291,-0.1173,0.0056,0.8156,True
88,gpt41nano,sonnet37,167,0.2814,0.7126,-0.4311,-0.503,-0.3533,0.0,0.5689,True
89,gpt41nano,sonnet46,179,0.2626,0.7151,-0.4525,-0.5251,-0.3799,0.0,0.5475,True
90,gpt54mini,gpt54nano,180,0.4944,0.5389,-0.0444,-0.1111,0.0222,0.0667,0.8222,False
91,gpt54mini,haiku35,180,0.4944,0.4333,0.0611,0.0167,0.1057,0.0833,0.8944,True
92,gpt54mini,haiku45,180,0.4944,0.4333,0.0611,0.0222,0.1001,0.0722,0.9167,True
93,gpt54mini,sonnet37,167,0.5269,0.7126,-0.1856,-0.2515,-0.1198,0.024,0.7665,True
94,gpt54mini,sonnet46,180,0.4944,0.7111,-0.2167,-0.2833,-0.1556,0.0111,0.7611,True
95,gpt54nano,haiku35,180,0.5389,0.4333,0.1056,0.05,0.1667,0.1333,0.8389,True
96,gpt54nano,haiku45,180,0.5389,0.4333,0.1056,0.0389,0.1722,0.1611,0.7833,True
97,gpt54nano,sonnet37,167,0.5689,0.7126,-0.1437,-0.2096,-0.0838,0.0299,0.7964,True
98,gpt54nano,sonnet46,180,0.5389,0.7111,-0.1722,-0.2278,-0.1167,0.0056,0.8167,True
99,haiku35,haiku45,180,0.4333,0.4333,0.0,-0.05,0.05,0.05,0.9,False
100,haiku35,sonnet37,167,0.4611,0.7126,-0.2515,-0.3234,-0.1796,0.012,0.7246,True
101,haiku35,sonnet46,180,0.4333,0.7111,-0.2778,-0.35,-0.2111,0.0056,0.7111,True
102,haiku45,sonnet37,167,0.4611,0.7126,-0.2515,-0.3295,-0.1796,0.024,0.7006,True
103,haiku45,sonnet46,180,0.4333,0.7111,-0.2778,-0.3444,-0.2056,0.0111,0.7,True
104,sonnet37,sonnet46,167,0.7126,0.7485,-0.0359,-0.0898,0.012,0.0299,0.9042,False
