environment,model,axis,point,ci_lo,ci_hi,ci_width,n_resamples
T2 Debate,GPT-5.5,difficulty,0.02328363095238096,0.008472949647962455,0.03759135150505749,0.029118401857095036,1000
T2 Debate,Gemini 3.1 Pro,frame,0.004237246376811598,-0.004877374629282448,0.01292626338487271,0.01780363801415516,1000
T2 Debate,Gemini 3.1 Pro,incentive,-0.0023982608695652177,-0.017812817437262214,0.013293247106742123,0.031106064544004337,1000
T2 Debate,Gemini 3.1 Pro,difficulty,0.01832461309523809,0.0037463059197937396,0.03275022094564737,0.02900391502585363,1000
T2 Debate,Grok 4,frame,0.0013676811594202879,-0.00851152359099234,0.01025621661809548,0.01876774020908782,1000
T2 Debate,Grok 4,incentive,0.001629565217391299,-0.014656143372046453,0.01710880450070324,0.031764947872749694,1000
T2 Debate,Grok 4,difficulty,0.04260336309523809,0.02760786574870913,0.05860886457399102,0.031000998825281886,1000
T2 Debate,Llama 3.3 70B,frame,-0.0006620289855072444,-0.012180012100314896,0.011945476485984461,0.024125488586299357,1000
T2 Debate,Llama 3.3 70B,incentive,-0.003319347826086963,-0.0224339837595443,0.015794459079733054,0.03822844283927736,1000
T2 Debate,Llama 3.3 70B,difficulty,0.060972232142857144,0.04307516881848297,0.0812302865004233,0.038155117681940326,1000
T2 Debate,DeepSeek V4 Pro,frame,0.0038715942028985525,-0.004817516122058984,0.012847616420246061,0.017665132542305045,1000
T2 Debate,DeepSeek V4 Pro,incentive,-0.006435434782608697,-0.02253723123349679,0.007926389503169692,0.03046362073666648,1000
T2 Debate,DeepSeek V4 Pro,difficulty,0.03427276785714286,0.0174399830540388,0.04973175685478022,0.03229177380074142,1000
T3 Village,Claude Opus 4.7,frame,0.10632166666666668,0.09422034532031436,0.11817781617647058,0.023957470856156224,1000
T3 Village,Claude Opus 4.7,incentive,0.02458166666666667,-0.028928115942028987,0.07759262672811058,0.10652074267013957,1000
T3 Village,Claude Opus 4.7,difficulty,-0.004900000000000002,-0.058846047008546995,0.04660425925925926,0.10545030626780626,1000
T3 Village,GPT-5.5,frame,0.1856349346405229,0.16237152429667517,0.20730147191682996,0.044929947620154786,1000
T3 Village,GPT-5.5,incentive,0.12198000000000003,0.03500913978494627,0.21088706896551723,0.17587792918057096,1000
T3 Village,GPT-5.5,difficulty,-0.05930758620689655,-0.1420586206896552,0.02851358411703242,0.1705722048066876,1000
T3 Village,Gemini 3.1 Pro,frame,0.2545133333333333,0.23583323274764453,0.2723613381492948,0.036528105401650274,1000
T3 Village,Gemini 3.1 Pro,incentive,0.10458333333333333,-0.009348935091277877,0.21447511574074074,0.22382405083201862,1000
T3 Village,Gemini 3.1 Pro,difficulty,-0.0469816666666667,-0.15414999999999998,0.0662774769585254,0.22042747695852538,1000
T3 Village,Grok 4,frame,0.21347166666666667,0.20108366666666666,0.22578597222222224,0.02470230555555558,1000
T3 Village,Grok 4,incentive,0.031561666666666655,-0.06269531250000002,0.12269685960591134,0.18539217210591136,1000
T3 Village,Grok 4,difficulty,-0.0036449999999999816,-0.09937831564986738,0.09279891304347826,0.19217722869334564,1000
T3 Village,Llama 3.3 70B,frame,0.10486936683006536,0.09168365079365079,0.11855090336134452,0.026867252567693733,1000
T3 Village,Llama 3.3 70B,incentive,0.02517586206896552,-0.030613213399503736,0.08021560606060604,0.11082881946010978,1000
T3 Village,Llama 3.3 70B,difficulty,0.010836576354679828,-0.047660714285714306,0.07085341435185183,0.11851412863756614,1000
T3 Village,DeepSeek V4 Pro,frame,0.14089475816993463,0.11425427094474154,0.16495840909090909,0.050704138146167546,1000
T3 Village,DeepSeek V4 Pro,incentive,0.013148872679045104,-0.06328379446640314,0.08764012066365005,0.1509239151300532,1000
T3 Village,DeepSeek V4 Pro,difficulty,0.011257573891625627,-0.06558585607940448,0.08715018518518516,0.15273604126458964,1000
T4 Sales,Claude Opus 4.7,frame,0.02,0.010654879294006731,0.029883246321784535,0.019228367027777804,1000
T4 Sales,Claude Opus 4.7,incentive,-0.002666666666666668,-0.01871227364185111,0.01224569640062598,0.03095797004247709,1000
T4 Sales,Claude Opus 4.7,difficulty,0.05466666666666668,0.039240506329113925,0.07142857142857142,0.0321880650994575,1000
T4 Sales,GPT-5.5,frame,-0.0004444444444444435,-0.0071110586993813115,0.0055177007389773354,0.012628759438358648,1000
T4 Sales,GPT-5.5,incentive,0.001333333333333334,-0.009166666666666665,0.011716676872831192,0.020883343539497855,1000
T4 Sales,GPT-5.5,difficulty,0.021333333333333336,0.013157894736842105,0.030000000000000002,0.016842105263157898,1000
T4 Sales,Gemini 3.1 Pro,frame,0.047111111111111104,0.031223989595838338,0.06488658825706323,0.03366259866122489,1000
T4 Sales,Gemini 3.1 Pro,incentive,0.021333333333333336,-0.012485725161781501,0.057142857142857134,0.06962858230463864,1000
T4 Sales,Gemini 3.1 Pro,difficulty,0.148,0.11866666666666667,0.18125,0.06258333333333332,1000
T4 Sales,Grok 4,frame,0.016444444444444446,0.006001847745750184,0.027091410836297975,0.02108956309054779,1000
T4 Sales,Grok 4,incentive,0.002666666666666668,-0.015384615384615385,0.01882530120481928,0.03420991658943466,1000
T4 Sales,Grok 4,difficulty,0.06933333333333333,0.052380952380952375,0.08533333333333334,0.03295238095238097,1000
T4 Sales,Llama 3.3 70B,frame,0.034666666666666665,0.018528717857213665,0.05085579196217495,0.03232707410496129,1000
T4 Sales,Llama 3.3 70B,incentive,0.010666666666666665,-0.016371027346637104,0.03791666666666667,0.05428769401330377,1000
T4 Sales,Llama 3.3 70B,difficulty,0.11333333333333333,0.08611111111111111,0.13913043478260873,0.053019323671497615,1000
T4 Sales,DeepSeek V4 Pro,frame,0.03777777777777778,0.023882185167899455,0.052018292744500316,0.02813610757660086,1000
T4 Sales,DeepSeek V4 Pro,incentive,0.018666666666666665,-0.011468253968253968,0.04780797101449275,0.05927622498274672,1000
T4 Sales,DeepSeek V4 Pro,difficulty,0.11466666666666668,0.0863013698630137,0.1451219512195122,0.05882058135649851,1000
T5 Committee,Claude Opus 4.7,frame,1.2264608174603175,0.7824442549786629,1.6902993900913899,0.907855135112727,1000
T5 Committee,Claude Opus 4.7,incentive,0.5106728107344631,-0.27968761618370697,1.3227800850030358,1.6024677011867428,1000
T5 Committee,Claude Opus 4.7,difficulty,-3.9681975000000005,-4.452728398944806,-3.4864031320754716,0.9663252668693341,1000
T5 Committee,GPT-5.5,frame,1.1877299999999997,0.82764943160288,1.553104603736089,0.725455172133209,1000
T5 Committee,GPT-5.5,incentive,0.7805583333333332,0.07585719014830516,1.4800141242937852,1.40415693414548,1000
T5 Committee,GPT-5.5,difficulty,-2.613192333333333,-3.1313380735018725,-2.1041600245700245,1.027178048931848,1000
T5 Committee,Gemini 3.1 Pro,frame,3.6837988888888886,3.1578576498708006,4.243703639566395,1.0858459896955948,1000
T5 Committee,Gemini 3.1 Pro,incentive,3.6486125,2.2277792948717954,5.002750531914895,2.7749712370430997,1000
T5 Committee,Gemini 3.1 Pro,difficulty,0.13319933333333367,-1.2567137096774204,1.481804986431479,2.7385186961088994,1000
T5 Committee,Grok 4,frame,1.5633529682539682,1.163549050108377,1.9593768648648648,0.7958278147564879,1000
T5 Committee,Grok 4,incentive,0.5685033898305085,-0.16727641351622635,1.33917175587216,1.5064481693883864,1000
T5 Committee,Grok 4,difficulty,-2.2606693738229757,-2.9144631370091894,-1.594692094809322,1.3197710421998674,1000
T5 Committee,Llama 3.3 70B,frame,0.7826388888888889,0.4955150937828442,1.059743282044043,0.5642281882611987,1000
T5 Committee,Llama 3.3 70B,incentive,0.04930916666666674,-0.4510599319727894,0.559767388167388,1.0108273201401774,1000
T5 Committee,Llama 3.3 70B,difficulty,-1.9459733333333333,-2.3358688520871143,-1.5498161111111108,0.7860527409760034,1000
T5 Committee,DeepSeek V4 Pro,frame,1.2212961111111111,0.7833903899164946,1.672673831932773,0.8892834420162784,1000
T5 Committee,DeepSeek V4 Pro,incentive,0.7916699999999999,0.020975333333333346,1.5547601282051282,1.5337847948717949,1000
T5 Committee,DeepSeek V4 Pro,difficulty,-3.3370815,-3.8836652290448344,-2.7941991666666666,1.0894660623781678,1000
