,model_a,model_b,n_scenarios,rate_a_paired,rate_b_paired,mean_delta,ci_lo,ci_hi,frac_a_higher,frac_tied,significant
20,DeepSeek-V4-Pro,gpt41nano,45,0.3865,0.0089,0.3777,0.2565,0.4912,0.5333,0.4667,True
21,DeepSeek-V4-Pro,gpt54mini,45,0.3865,0.2511,0.1354,0.0743,0.2079,0.4,0.5556,True
22,DeepSeek-V4-Pro,gpt54nano,45,0.3865,0.0589,0.3277,0.2332,0.431,0.5333,0.4667,True
23,DeepSeek-V4-Pro,haiku35,45,0.3865,0.8267,-0.4401,-0.5522,-0.3322,0.1111,0.0444,True
24,DeepSeek-V4-Pro,haiku45,45,0.3865,0.0311,0.3554,0.251,0.4664,0.5333,0.4222,True
25,DeepSeek-V4-Pro,sonnet37,45,0.3865,0.0733,0.3132,0.1956,0.4243,0.5333,0.3556,True
26,DeepSeek-V4-Pro,sonnet46,45,0.3865,0.0889,0.2977,0.201,0.3998,0.5111,0.4889,True
27,GPT-5.5,Gemini-3.1-Pro,45,0.3811,0.4189,-0.0378,-0.0778,0.0011,0.1556,0.5778,False
28,GPT-5.5,Grok-4,45,0.3811,0.3722,0.0089,-0.0289,0.0444,0.3111,0.5333,False
29,GPT-5.5,Llama-3.3-70B,45,0.3811,0.1567,0.2244,0.1022,0.3511,0.4667,0.2889,True
30,GPT-5.5,gpt41,45,0.3811,0.0778,0.3033,0.2033,0.4089,0.5333,0.4222,True
31,GPT-5.5,gpt41mini,45,0.3811,0.3811,0.0,-0.1122,0.1167,0.3778,0.2222,False
32,GPT-5.5,gpt41nano,45,0.3811,0.0089,0.3722,0.2433,0.4978,0.5333,0.4444,True
33,GPT-5.5,gpt54mini,45,0.3811,0.2511,0.13,0.06,0.22,0.3556,0.6222,True
34,GPT-5.5,gpt54nano,45,0.3811,0.0589,0.3222,0.2222,0.43,0.5333,0.4667,True
35,GPT-5.5,haiku35,45,0.3811,0.8267,-0.4456,-0.5722,-0.3211,0.1556,0.0889,True
36,GPT-5.5,haiku45,45,0.3811,0.0311,0.35,0.2311,0.47,0.5333,0.4222,True
37,GPT-5.5,sonnet37,45,0.3811,0.0733,0.3078,0.2044,0.4211,0.5111,0.4,True
38,GPT-5.5,sonnet46,45,0.3811,0.0889,0.2922,0.1867,0.4056,0.5111,0.4889,True
39,Gemini-3.1-Pro,Grok-4,45,0.4189,0.3722,0.0467,0.0011,0.0945,0.3556,0.4889,True
40,Gemini-3.1-Pro,Llama-3.3-70B,45,0.4189,0.1567,0.2622,0.1411,0.3967,0.5111,0.2889,True
41,Gemini-3.1-Pro,gpt41,45,0.4189,0.0778,0.3411,0.2333,0.4578,0.5778,0.3778,True
42,Gemini-3.1-Pro,gpt41mini,45,0.4189,0.3811,0.0378,-0.0822,0.1511,0.4,0.2222,False
43,Gemini-3.1-Pro,gpt41nano,45,0.4189,0.0089,0.41,0.2844,0.5367,0.5778,0.4222,True
44,Gemini-3.1-Pro,gpt54mini,45,0.4189,0.2511,0.1678,0.1,0.2434,0.4667,0.5333,True
45,Gemini-3.1-Pro,gpt54nano,45,0.4189,0.0589,0.36,0.2511,0.4722,0.5778,0.4222,True
46,Gemini-3.1-Pro,haiku35,45,0.4189,0.8267,-0.4078,-0.5256,-0.2978,0.1333,0.1778,True
47,Gemini-3.1-Pro,haiku45,45,0.4189,0.0311,0.3878,0.2633,0.5089,0.5778,0.3778,True
48,Gemini-3.1-Pro,sonnet37,45,0.4189,0.0733,0.3456,0.2311,0.4611,0.5556,0.3333,True
49,Gemini-3.1-Pro,sonnet46,45,0.4189,0.0889,0.33,0.2256,0.4479,0.5556,0.4444,True
50,Grok-4,Llama-3.3-70B,45,0.3722,0.1567,0.2156,0.1067,0.3344,0.5111,0.2667,True
51,Grok-4,gpt41,45,0.3722,0.0778,0.2944,0.2011,0.3967,0.5333,0.4444,True
52,Grok-4,gpt41mini,45,0.3722,0.3811,-0.0089,-0.1122,0.0934,0.4,0.2,False
53,Grok-4,gpt41nano,45,0.3722,0.0089,0.3633,0.2478,0.4711,0.5333,0.4667,True
54,Grok-4,gpt54mini,45,0.3722,0.2511,0.1211,0.0466,0.2111,0.2889,0.5556,True
55,Grok-4,gpt54nano,45,0.3722,0.0589,0.3133,0.22,0.409,0.5556,0.4444,True
56,Grok-4,haiku35,45,0.3722,0.8267,-0.4544,-0.5645,-0.3355,0.1333,0.0444,True
57,Grok-4,haiku45,45,0.3722,0.0311,0.3411,0.2356,0.4522,0.5333,0.4444,True
58,Grok-4,sonnet37,45,0.3722,0.0733,0.2989,0.1978,0.4044,0.5333,0.3556,True
59,Grok-4,sonnet46,45,0.3722,0.0889,0.2833,0.1922,0.3745,0.5333,0.4667,True
60,Llama-3.3-70B,gpt41,45,0.1567,0.0778,0.0789,0.0256,0.1334,0.3333,0.5111,True
61,Llama-3.3-70B,gpt41mini,45,0.1567,0.3811,-0.2244,-0.2722,-0.1722,0.0444,0.1778,True
62,Llama-3.3-70B,gpt41nano,45,0.1567,0.0089,0.1478,0.0811,0.2289,0.4667,0.4667,True
63,Llama-3.3-70B,gpt54mini,45,0.1567,0.2511,-0.0944,-0.2222,0.0256,0.2889,0.3778,False
64,Llama-3.3-70B,gpt54nano,45,0.1567,0.0589,0.0978,0.0344,0.1667,0.4222,0.4222,True
65,Llama-3.3-70B,haiku35,45,0.1567,0.8267,-0.67,-0.7634,-0.5822,0.0222,0.0222,True
66,Llama-3.3-70B,haiku45,45,0.1567,0.0311,0.1256,0.0655,0.1923,0.4667,0.4889,True
67,Llama-3.3-70B,sonnet37,45,0.1567,0.0733,0.0833,0.0389,0.1333,0.4222,0.5111,True
68,Llama-3.3-70B,sonnet46,45,0.1567,0.0889,0.0678,0.0044,0.1344,0.3556,0.4889,True
69,gpt41,gpt41mini,45,0.0778,0.3811,-0.3033,-0.3789,-0.2311,0.0222,0.2,True
70,gpt41,gpt41nano,45,0.0778,0.0089,0.0689,0.02,0.1311,0.2667,0.6889,True
71,gpt41,gpt54mini,45,0.0778,0.2511,-0.1733,-0.2733,-0.0933,0.0667,0.5111,True
72,gpt41,gpt54nano,45,0.0778,0.0589,0.0189,-0.0123,0.0567,0.1556,0.6889,False
73,gpt41,haiku35,45,0.0778,0.8267,-0.7489,-0.8322,-0.6578,0.0,0.0,True
74,gpt41,haiku45,45,0.0778,0.0311,0.0467,0.0122,0.0945,0.1778,0.8,True
75,gpt41,sonnet37,45,0.0778,0.0733,0.0044,-0.0378,0.0467,0.1556,0.6222,False
76,gpt41,sonnet46,45,0.0778,0.0889,-0.0111,-0.03,0.0078,0.1556,0.6889,False
77,gpt41mini,gpt41nano,45,0.3811,0.0089,0.3722,0.2978,0.4544,0.8222,0.1778,True
78,gpt41mini,gpt54mini,45,0.3811,0.2511,0.13,0.0156,0.2445,0.5778,0.1778,True
79,gpt41mini,gpt54nano,45,0.3811,0.0589,0.3222,0.2533,0.4,0.8,0.1778,True
80,gpt41mini,haiku35,45,0.3811,0.8267,-0.4456,-0.5078,-0.3789,0.0,0.0,True
81,gpt41mini,haiku45,45,0.3811,0.0311,0.35,0.28,0.4167,0.8222,0.1778,True
82,gpt41mini,sonnet37,45,0.3811,0.0733,0.3078,0.2466,0.3611,0.8222,0.1778,True
83,gpt41mini,sonnet46,45,0.3811,0.0889,0.2922,0.2144,0.3656,0.7556,0.1778,True
84,gpt41nano,gpt54mini,45,0.0089,0.2511,-0.2422,-0.3633,-0.1322,0.0444,0.5556,True
85,gpt41nano,gpt54nano,45,0.0089,0.0589,-0.05,-0.0823,-0.02,0.0444,0.6444,True
86,gpt41nano,haiku35,45,0.0089,0.8267,-0.8178,-0.8944,-0.7377,0.0,0.0,True
87,gpt41nano,haiku45,45,0.0089,0.0311,-0.0222,-0.0489,-0.0033,0.0667,0.6889,True
88,gpt41nano,sonnet37,45,0.0089,0.0733,-0.0644,-0.1011,-0.0311,0.0444,0.5556,True
89,gpt41nano,sonnet46,45,0.0089,0.0889,-0.08,-0.1434,-0.0267,0.0444,0.7333,True
90,gpt54mini,gpt54nano,45,0.2511,0.0589,0.1922,0.1077,0.2889,0.4,0.5778,True
91,gpt54mini,haiku35,45,0.2511,0.8267,-0.5756,-0.6922,-0.4633,0.0889,0.0667,True
92,gpt54mini,haiku45,45,0.2511,0.0311,0.22,0.1256,0.3267,0.4222,0.5111,True
93,gpt54mini,sonnet37,45,0.2511,0.0733,0.1778,0.0733,0.2756,0.3778,0.4222,True
94,gpt54mini,sonnet46,45,0.2511,0.0889,0.1622,0.0877,0.2467,0.3778,0.6,True
95,gpt54nano,haiku35,45,0.0589,0.8267,-0.7678,-0.8411,-0.6922,0.0,0.0,True
96,gpt54nano,haiku45,45,0.0589,0.0311,0.0278,0.0067,0.0522,0.2444,0.6667,True
97,gpt54nano,sonnet37,45,0.0589,0.0733,-0.0144,-0.0434,0.0167,0.1556,0.5556,False
98,gpt54nano,sonnet46,45,0.0589,0.0889,-0.03,-0.0722,0.0033,0.1111,0.7556,False
99,haiku35,haiku45,45,0.8267,0.0311,0.7956,0.7166,0.87,1.0,0.0,True
100,haiku35,sonnet37,45,0.8267,0.0733,0.7533,0.6778,0.8245,1.0,0.0,True
101,haiku35,sonnet46,45,0.8267,0.0889,0.7378,0.6522,0.8211,0.9778,0.0,True
102,haiku45,sonnet37,45,0.0311,0.0733,-0.0422,-0.0656,-0.0211,0.0,0.6889,True
103,haiku45,sonnet46,45,0.0311,0.0889,-0.0578,-0.1144,-0.0122,0.1111,0.6667,True
104,sonnet37,sonnet46,45,0.0733,0.0889,-0.0156,-0.0678,0.0311,0.2444,0.6,False
