,model_a,model_b,n_scenarios,rate_a_paired,rate_b_paired,mean_delta,ci_lo,ci_hi,frac_a_higher,frac_tied,significant
33,GPT-5.5,gpt54mini,225,0.1333,0.1733,-0.04,-0.0889,0.0046,0.0533,0.8533,False
34,GPT-5.5,gpt54nano,225,0.1333,0.1422,-0.0089,-0.0533,0.0356,0.0578,0.8756,False
35,GPT-5.5,haiku35,225,0.1333,0.4044,-0.2711,-0.3423,-0.1956,0.0667,0.5956,True
36,GPT-5.5,haiku45,225,0.1333,0.2044,-0.0711,-0.1289,-0.0133,0.0667,0.7956,True
37,GPT-5.5,sonnet37,225,0.1333,0.3644,-0.2311,-0.3022,-0.1644,0.0622,0.6444,True
38,GPT-5.5,sonnet46,225,0.1333,0.3422,-0.2089,-0.2667,-0.1511,0.0133,0.7644,True
39,Gemini-3.1-Pro,Grok-4,225,0.3511,0.2,0.1511,0.0978,0.2001,0.1644,0.8222,True
40,Gemini-3.1-Pro,Llama-3.3-70B,225,0.3511,0.36,-0.0089,-0.0578,0.0444,0.0667,0.8578,False
41,Gemini-3.1-Pro,gpt41,225,0.3511,0.1644,0.1867,0.1378,0.24,0.1867,0.8133,True
42,Gemini-3.1-Pro,gpt41mini,225,0.3511,0.2,0.1511,0.0978,0.2044,0.1689,0.8133,True
43,Gemini-3.1-Pro,gpt41nano,225,0.3511,0.3111,0.04,-0.04,0.1156,0.1911,0.6578,False
44,Gemini-3.1-Pro,gpt54mini,225,0.3511,0.1733,0.1778,0.1243,0.24,0.2267,0.7244,True
45,Gemini-3.1-Pro,gpt54nano,225,0.3511,0.1422,0.2089,0.1511,0.2711,0.2267,0.7556,True
46,Gemini-3.1-Pro,haiku35,225,0.3511,0.4044,-0.0533,-0.1067,0.0,0.0578,0.8311,False
47,Gemini-3.1-Pro,haiku45,225,0.3511,0.2044,0.1467,0.1022,0.2,0.16,0.8267,True
48,Gemini-3.1-Pro,sonnet37,225,0.3511,0.3644,-0.0133,-0.0579,0.0356,0.0622,0.8622,False
49,Gemini-3.1-Pro,sonnet46,225,0.3511,0.3422,0.0089,-0.0356,0.0533,0.0667,0.8756,False
50,Grok-4,Llama-3.3-70B,225,0.2,0.36,-0.16,-0.2178,-0.1067,0.0222,0.7956,True
51,Grok-4,gpt41,225,0.2,0.1644,0.0356,-0.0044,0.0712,0.0622,0.9111,False
52,Grok-4,gpt41mini,225,0.2,0.2,0.0,-0.0444,0.04,0.0578,0.8844,False
53,Grok-4,gpt41nano,225,0.2,0.3111,-0.1111,-0.1779,-0.04,0.0889,0.7111,True
54,Grok-4,gpt54mini,225,0.2,0.1733,0.0267,-0.0311,0.0844,0.1022,0.8222,False
55,Grok-4,gpt54nano,225,0.2,0.1422,0.0578,0.0133,0.1068,0.0978,0.8622,True
56,Grok-4,haiku35,225,0.2,0.4044,-0.2044,-0.2578,-0.1511,0.0044,0.7867,True
57,Grok-4,haiku45,225,0.2,0.2044,-0.0044,-0.0578,0.0444,0.0756,0.8444,False
58,Grok-4,sonnet37,225,0.2,0.3644,-0.1644,-0.2178,-0.1156,0.0044,0.8267,True
59,Grok-4,sonnet46,225,0.2,0.3422,-0.1422,-0.2001,-0.0889,0.0311,0.7956,True
60,Llama-3.3-70B,gpt41,225,0.36,0.1644,0.1956,0.1378,0.2533,0.2044,0.7867,True
61,Llama-3.3-70B,gpt41mini,225,0.36,0.2,0.16,0.1067,0.2178,0.1867,0.7867,True
62,Llama-3.3-70B,gpt41nano,225,0.36,0.3111,0.0489,-0.04,0.1289,0.24,0.5689,False
63,Llama-3.3-70B,gpt54mini,225,0.36,0.1733,0.1867,0.1244,0.2534,0.2444,0.6978,True
64,Llama-3.3-70B,gpt54nano,225,0.36,0.1422,0.2178,0.1599,0.28,0.2444,0.7289,True
65,Llama-3.3-70B,haiku35,225,0.36,0.4044,-0.0444,-0.0978,0.0089,0.0622,0.8311,False
66,Llama-3.3-70B,haiku45,225,0.36,0.2044,0.1556,0.1067,0.2133,0.1689,0.8178,True
67,Llama-3.3-70B,sonnet37,225,0.36,0.3644,-0.0044,-0.0489,0.0444,0.0667,0.8622,False
68,Llama-3.3-70B,sonnet46,225,0.36,0.3422,0.0178,-0.0311,0.0667,0.0844,0.8489,False
69,gpt41,gpt41mini,225,0.1644,0.2,-0.0356,-0.08,0.0044,0.0311,0.9022,False
70,gpt41,gpt41nano,225,0.1644,0.3111,-0.1467,-0.2133,-0.0843,0.0667,0.72,True
71,gpt41,gpt54mini,225,0.1644,0.1733,-0.0089,-0.0578,0.04,0.0756,0.84,False
72,gpt41,gpt54nano,225,0.1644,0.1422,0.0222,-0.0222,0.0711,0.0711,0.88,False
73,gpt41,haiku35,225,0.1644,0.4044,-0.24,-0.2979,-0.1866,0.0089,0.7422,True
74,gpt41,haiku45,225,0.1644,0.2044,-0.04,-0.0889,0.0089,0.0533,0.8533,False
75,gpt41,sonnet37,225,0.1644,0.3644,-0.2,-0.2533,-0.1467,0.0044,0.7911,True
76,gpt41,sonnet46,225,0.1644,0.3422,-0.1778,-0.2356,-0.1244,0.0133,0.7956,True
77,gpt41mini,gpt41nano,225,0.2,0.3111,-0.1111,-0.1778,-0.0444,0.08,0.7289,True
78,gpt41mini,gpt54mini,225,0.2,0.1733,0.0267,-0.0267,0.0889,0.1111,0.8044,False
79,gpt41mini,gpt54nano,225,0.2,0.1422,0.0578,0.0044,0.1067,0.1111,0.8356,True
80,gpt41mini,haiku35,225,0.2,0.4044,-0.2044,-0.2667,-0.1467,0.0267,0.7422,True
81,gpt41mini,haiku45,225,0.2,0.2044,-0.0044,-0.0667,0.0533,0.0889,0.8178,False
82,gpt41mini,sonnet37,225,0.2,0.3644,-0.1644,-0.2222,-0.1067,0.0356,0.7644,True
83,gpt41mini,sonnet46,225,0.2,0.3422,-0.1422,-0.2,-0.0844,0.04,0.7778,True
84,gpt41nano,gpt54mini,225,0.3111,0.1733,0.1378,0.0711,0.2044,0.2089,0.72,True
85,gpt41nano,gpt54nano,225,0.3111,0.1422,0.1689,0.1067,0.2311,0.2222,0.7244,True
86,gpt41nano,haiku35,225,0.3111,0.4044,-0.0933,-0.1733,-0.0132,0.1467,0.6133,True
87,gpt41nano,haiku45,225,0.3111,0.2044,0.1067,0.04,0.1689,0.2,0.7067,True
88,gpt41nano,sonnet37,225,0.3111,0.3644,-0.0533,-0.1333,0.0267,0.1644,0.6178,False
89,gpt41nano,sonnet46,225,0.3111,0.3422,-0.0311,-0.1111,0.0533,0.16,0.6489,False
90,gpt54mini,gpt54nano,225,0.1733,0.1422,0.0311,-0.0178,0.0844,0.0889,0.8533,False
91,gpt54mini,haiku35,225,0.1733,0.4044,-0.2311,-0.2978,-0.16,0.0444,0.68,True
92,gpt54mini,haiku45,225,0.1733,0.2044,-0.0311,-0.0889,0.0222,0.0667,0.8356,False
93,gpt54mini,sonnet37,225,0.1733,0.3644,-0.1911,-0.2622,-0.12,0.0578,0.6933,True
94,gpt54mini,sonnet46,225,0.1733,0.3422,-0.1689,-0.2357,-0.1022,0.0489,0.7333,True
95,gpt54nano,haiku35,225,0.1422,0.4044,-0.2622,-0.3244,-0.1999,0.0178,0.7022,True
96,gpt54nano,haiku45,225,0.1422,0.2044,-0.0622,-0.1111,-0.0133,0.0489,0.84,True
97,gpt54nano,sonnet37,225,0.1422,0.3644,-0.2222,-0.28,-0.1644,0.0222,0.7333,True
98,gpt54nano,sonnet46,225,0.1422,0.3422,-0.2,-0.2578,-0.1422,0.0178,0.7644,True
99,haiku35,haiku45,225,0.4044,0.2044,0.2,0.1467,0.2533,0.2089,0.7822,True
100,haiku35,sonnet37,225,0.4044,0.3644,0.04,0.0089,0.0756,0.0533,0.9333,True
101,haiku35,sonnet46,225,0.4044,0.3422,0.0622,-0.0001,0.1201,0.1333,0.7956,False
102,haiku45,sonnet37,225,0.2044,0.3644,-0.16,-0.2133,-0.1111,0.0089,0.8222,True
103,haiku45,sonnet46,225,0.2044,0.3422,-0.1378,-0.1911,-0.0889,0.0133,0.8356,True
104,sonnet37,sonnet46,225,0.3644,0.3422,0.0222,-0.0268,0.08,0.0889,0.8444,False
