model,frame,incentive,difficulty,n_cur,n_ref,mean_cur,mean_ref,diff_mean,pooled_sd,cohens_d,saturated
deepseek,minimal,moderate,low,4,4,5.146,4.292,0.854,2.240,0.381,N
deepseek,minimal,moderate,medium,3,2,2.583,0.875,1.708,1.877,0.910,N
deepseek,minimal,moderate,high,5,4,-0.267,-5.521,5.254,2.542,2.067,N
deepseek,minimal,high,low,3,4,6.389,5.708,0.681,2.308,0.295,N
deepseek,minimal,high,medium,2,3,4.875,0.417,4.458,0.437,10.202,N
deepseek,minimal,high,high,5,5,2.733,-5.317,8.050,2.303,3.496,N
deepseek,selfish,none,low,4,4,5.042,3.958,1.083,2.544,0.426,N
deepseek,selfish,none,medium,2,3,2.625,0.167,2.458,0.598,4.111,N
deepseek,selfish,none,high,5,5,-0.250,-4.033,3.783,0.798,4.742,N
deepseek,selfish,moderate,low,3,4,5.250,4.292,0.958,2.518,0.381,N
deepseek,selfish,moderate,medium,3,2,3.500,0.875,2.625,0.941,2.790,N
deepseek,selfish,moderate,high,3,4,-1.278,-5.521,4.243,2.036,2.084,N
deepseek,selfish,high,low,4,4,5.854,5.708,0.146,2.722,0.054,N
deepseek,selfish,high,medium,2,3,3.000,0.417,2.583,1.067,2.421,N
deepseek,selfish,high,high,4,5,0.813,-5.317,6.129,2.490,2.462,N
deepseek,permissive,none,low,4,4,6.208,3.958,2.250,2.622,0.858,N
deepseek,permissive,none,medium,2,3,3.750,0.167,3.583,1.908,1.878,N
deepseek,permissive,none,high,4,5,4.333,-4.033,8.367,0.982,8.524,N
deepseek,permissive,moderate,low,4,4,5.812,4.292,1.521,2.754,0.552,N
deepseek,permissive,moderate,medium,3,2,3.417,0.875,2.542,0.524,4.853,N
deepseek,permissive,moderate,high,2,4,2.417,-5.521,7.938,2.511,3.161,N
deepseek,permissive,high,low,4,4,7.396,5.708,1.688,2.592,0.651,N
deepseek,permissive,high,medium,2,3,3.250,0.417,2.833,0.874,3.242,N
deepseek,permissive,high,high,4,5,3.563,-5.317,8.879,3.706,2.396,N
gemini,pro_social,none,low,4,4,6.729,5.250,1.479,1.496,0.989,N
gemini,pro_social,none,medium,3,3,5.333,0.167,5.167,1.851,2.791,N
gemini,pro_social,none,high,5,5,10.000,-8.150,18.150,4.551,3.988,N
gemini,pro_social,moderate,low,4,4,8.458,5.312,3.146,2.548,1.235,N
gemini,pro_social,moderate,medium,3,3,16.083,0.250,15.833,1.109,14.281,N
gemini,pro_social,moderate,high,5,5,13.433,-7.750,21.183,4.026,5.261,N
gemini,pro_social,high,low,4,4,16.146,6.854,9.292,4.015,2.314,N
gemini,pro_social,high,medium,3,3,19.333,6.583,12.750,6.279,2.031,N
gemini,pro_social,high,high,5,5,20.000,-1.300,21.300,8.519,saturated,Y
gemini,minimal,none,low,4,4,6.479,5.250,1.229,1.732,0.710,N
gemini,minimal,none,medium,3,3,5.750,0.167,5.583,0.692,8.066,N
gemini,minimal,none,high,5,5,6.550,-8.150,14.700,4.234,3.472,N
gemini,minimal,moderate,low,4,4,9.750,5.312,4.438,1.910,2.323,N
gemini,minimal,moderate,medium,3,3,14.917,0.250,14.667,5.109,2.871,N
gemini,minimal,moderate,high,5,5,18.650,-7.750,26.400,2.489,10.607,N
gemini,minimal,high,low,4,4,16.104,6.854,9.250,3.554,2.602,N
gemini,minimal,high,medium,3,3,19.333,6.583,12.750,6.279,2.031,N
gemini,minimal,high,high,5,5,20.000,-1.300,21.300,8.519,saturated,Y
gemini,selfish,none,low,4,4,7.354,5.250,2.104,1.720,1.223,N
gemini,selfish,none,medium,3,3,4.833,0.167,4.667,0.764,6.110,N
gemini,selfish,none,high,5,5,9.217,-8.150,17.367,2.898,5.993,N
gemini,selfish,moderate,low,4,4,7.833,5.312,2.521,1.369,1.842,N
gemini,selfish,moderate,medium,3,3,7.583,0.250,7.333,3.017,2.430,N
gemini,selfish,moderate,high,5,5,10.567,-7.750,18.317,3.703,4.947,N
gemini,selfish,high,low,4,4,10.979,6.854,4.125,2.729,1.511,N
gemini,selfish,high,medium,3,3,14.833,6.583,8.250,7.249,1.138,N
gemini,selfish,high,high,5,5,19.050,-1.300,20.350,8.575,2.373,N
gemini,permissive,none,low,4,4,19.542,5.250,14.292,1.452,9.844,N
gemini,permissive,none,medium,3,3,17.917,0.167,17.750,2.602,6.821,N
gemini,permissive,none,high,5,5,20.000,-8.150,28.150,1.989,saturated,Y
gemini,permissive,moderate,low,4,4,19.479,5.312,14.167,1.422,9.961,N
gemini,permissive,moderate,medium,3,3,20.000,0.250,19.750,0.771,saturated,Y
gemini,permissive,moderate,high,5,5,20.000,-7.750,27.750,2.053,saturated,Y
gemini,permissive,high,low,4,4,20.000,6.854,13.146,1.279,saturated,Y
gemini,permissive,high,medium,3,3,20.000,6.583,13.417,6.226,saturated,Y
gemini,permissive,high,high,5,5,20.000,-1.300,21.300,8.519,saturated,Y
gpt5,pro_social,none,low,4,4,4.729,4.562,0.167,1.552,0.107,N
gpt5,pro_social,none,medium,3,3,2.500,0.500,2.000,0.500,4.000,N
gpt5,pro_social,none,high,5,5,-5.333,-7.600,2.267,1.929,1.175,N
gpt5,pro_social,moderate,low,4,4,4.979,4.562,0.417,1.229,0.339,N
gpt5,pro_social,moderate,medium,3,3,1.500,0.500,1.000,0.729,saturated,Y
gpt5,pro_social,moderate,high,5,5,-1.133,-8.000,6.867,2.316,2.965,N
gpt5,pro_social,high,low,4,4,5.333,3.563,1.771,1.910,0.927,N
gpt5,pro_social,high,medium,3,3,2.583,0.583,2.000,0.913,2.191,N
gpt5,pro_social,high,high,5,5,-0.333,-7.300,6.967,3.008,2.316,N
gpt5,minimal,none,low,4,4,5.000,4.562,0.438,1.328,0.330,N
gpt5,minimal,none,medium,3,3,1.917,0.500,1.417,0.445,saturated,Y
gpt5,minimal,none,high,5,5,-5.467,-7.600,2.133,2.686,0.794,N
gpt5,minimal,moderate,low,4,4,5.271,4.562,0.708,0.990,0.715,N
gpt5,minimal,moderate,medium,3,3,1.583,0.500,1.083,0.736,saturated,Y
gpt5,minimal,moderate,high,5,5,-2.317,-8.000,5.683,3.194,1.779,N
gpt5,minimal,high,low,4,4,6.583,3.563,3.021,1.485,2.034,N
gpt5,minimal,high,medium,3,3,3.417,0.583,2.833,0.842,3.367,N
gpt5,minimal,high,high,5,5,1.050,-7.300,8.350,2.653,3.147,N
gpt5,selfish,none,low,4,4,5.167,4.562,0.604,1.383,0.437,N
gpt5,selfish,none,medium,3,3,2.583,0.500,2.083,0.797,2.614,N
gpt5,selfish,none,high,5,5,-3.100,-7.600,4.500,2.026,2.221,N
gpt5,selfish,moderate,low,4,4,5.083,4.562,0.521,1.386,0.376,N
gpt5,selfish,moderate,medium,3,3,2.750,0.500,2.250,0.884,2.546,N
gpt5,selfish,moderate,high,5,5,-3.450,-8.000,4.550,3.026,1.504,N
gpt5,selfish,high,low,4,4,5.667,3.563,2.104,1.456,1.445,N
gpt5,selfish,high,medium,3,3,3.083,0.583,2.500,0.995,2.513,N
gpt5,selfish,high,high,5,5,-0.817,-7.300,6.483,3.081,2.104,N
gpt5,permissive,none,low,4,4,6.917,4.562,2.354,1.242,1.896,N
gpt5,permissive,none,medium,3,3,3.667,0.500,3.167,1.848,1.713,N
gpt5,permissive,none,high,5,5,0.583,-7.600,8.183,1.938,4.222,N
gpt5,permissive,moderate,low,4,4,6.958,4.562,2.396,1.113,2.153,N
gpt5,permissive,moderate,medium,3,3,4.000,0.500,3.500,1.173,2.985,N
gpt5,permissive,moderate,high,5,5,2.250,-8.000,10.250,3.045,3.366,N
gpt5,permissive,high,low,4,4,6.375,3.563,2.812,1.279,2.199,N
gpt5,permissive,high,medium,3,3,3.583,0.583,3.000,0.913,3.286,N
gpt5,permissive,high,high,5,5,-0.083,-7.300,7.217,3.306,2.183,N
grok,pro_social,none,low,4,4,5.896,4.333,1.562,1.875,0.833,N
grok,pro_social,none,medium,3,3,2.750,0.667,2.083,0.540,saturated,Y
grok,pro_social,none,high,4,5,0.458,-7.183,7.642,2.278,3.355,N
grok,pro_social,moderate,low,4,4,6.563,5.208,1.354,1.591,0.851,N
grok,pro_social,moderate,medium,3,3,3.000,0.000,3.000,1.031,2.910,N
grok,pro_social,moderate,high,5,5,0.617,-6.933,7.550,2.356,3.205,N
grok,pro_social,high,low,4,4,6.458,4.292,2.167,1.089,1.990,N
grok,pro_social,high,medium,3,3,3.750,3.333,0.417,1.971,0.211,N
grok,pro_social,high,high,5,5,3.467,-6.583,10.050,2.532,3.969,N
grok,minimal,none,low,4,4,5.187,4.333,0.854,2.045,0.418,N
grok,minimal,none,medium,3,3,2.583,0.667,1.917,1.765,1.086,N
grok,minimal,none,high,5,5,1.667,-7.183,8.850,2.673,3.311,N
grok,minimal,moderate,low,3,4,5.667,5.208,0.458,2.011,0.228,N
grok,minimal,moderate,medium,3,3,3.667,0.000,3.667,1.137,3.226,N
grok,minimal,moderate,high,5,5,3.817,-6.933,10.750,2.210,4.864,N
grok,minimal,high,low,4,4,6.396,4.292,2.104,1.093,1.926,N
grok,minimal,high,medium,3,3,4.833,3.333,1.500,2.309,0.650,N
grok,minimal,high,high,4,5,5.396,-6.583,11.979,2.261,5.297,N
grok,selfish,none,low,4,4,6.000,4.333,1.667,1.385,1.203,N
grok,selfish,none,medium,3,3,3.083,0.667,2.417,1.113,2.171,N
grok,selfish,none,high,5,5,1.300,-7.183,8.483,2.413,3.515,N
grok,selfish,moderate,low,4,4,5.792,5.208,0.583,2.090,0.279,N
grok,selfish,moderate,medium,3,3,3.083,0.000,3.083,1.279,2.411,N
grok,selfish,moderate,high,5,5,1.300,-6.933,8.233,2.444,3.369,N
grok,selfish,high,low,4,4,6.375,4.292,2.083,1.458,1.429,N
grok,selfish,high,medium,3,3,3.833,3.333,0.500,1.909,0.262,N
grok,selfish,high,high,5,5,1.950,-6.583,8.533,2.065,4.132,N
grok,permissive,none,low,4,4,6.208,4.333,1.875,2.001,0.937,N
grok,permissive,none,medium,3,3,5.500,0.667,4.833,2.439,1.982,N
grok,permissive,none,high,5,5,7.983,-7.183,15.167,3.231,4.694,N
grok,permissive,moderate,low,4,4,6.771,5.208,1.562,1.920,0.814,N
grok,permissive,moderate,medium,3,3,5.333,0.000,5.333,2.327,2.292,N
grok,permissive,moderate,high,4,5,7.854,-6.933,14.788,2.305,6.414,N
grok,permissive,high,low,4,4,7.583,4.292,3.292,1.193,2.760,N
grok,permissive,high,medium,3,3,5.250,3.333,1.917,2.758,0.695,N
grok,permissive,high,high,5,5,7.767,-6.583,14.350,2.135,6.723,N
llama,pro_social,none,low,4,4,3.458,2.521,0.938,1.582,0.593,N
llama,pro_social,none,medium,3,3,1.333,-0.417,1.750,1.258,1.391,N
llama,pro_social,none,high,5,5,-0.650,-2.450,1.800,1.340,1.343,N
llama,pro_social,moderate,low,4,4,2.521,2.021,0.500,1.416,saturated,Y
llama,pro_social,moderate,medium,3,3,1.833,0.083,1.750,1.443,1.212,N
llama,pro_social,moderate,high,5,5,0.183,-3.317,3.500,2.289,1.529,N
llama,pro_social,high,low,4,4,4.604,2.458,2.146,1.501,1.429,N
llama,pro_social,high,medium,3,3,1.500,0.000,1.500,0.984,1.524,N
llama,pro_social,high,high,5,5,0.667,-2.583,3.250,1.627,1.998,N
llama,minimal,none,low,4,4,3.479,2.521,0.958,1.616,0.593,N
llama,minimal,none,medium,3,3,1.667,-0.417,2.083,1.070,1.946,N
llama,minimal,none,high,5,5,-0.733,-2.450,1.717,2.145,0.800,N
llama,minimal,moderate,low,4,4,2.917,2.021,0.896,1.839,0.487,N
llama,minimal,moderate,medium,3,3,1.333,0.083,1.250,1.010,1.237,N
llama,minimal,moderate,high,5,5,-0.583,-3.317,2.733,2.329,1.174,N
llama,minimal,high,low,4,4,3.646,2.458,1.188,1.017,1.168,N
llama,minimal,high,medium,3,3,1.833,0.000,1.833,0.907,2.021,N
llama,minimal,high,high,5,5,0.433,-2.583,3.017,1.488,2.027,N
llama,selfish,none,low,4,4,4.000,2.521,1.479,1.670,0.886,N
llama,selfish,none,medium,3,3,1.667,-0.417,2.083,0.677,3.077,N
llama,selfish,none,high,5,5,0.783,-2.450,3.233,1.595,2.027,N
llama,selfish,moderate,low,4,4,5.771,2.021,3.750,2.468,1.519,N
llama,selfish,moderate,medium,3,3,1.417,0.083,1.333,0.979,1.362,N
llama,selfish,moderate,high,5,5,1.967,-3.317,5.283,2.284,2.313,N
llama,selfish,high,low,4,4,3.542,2.458,1.083,0.871,1.243,N
llama,selfish,high,medium,3,3,1.667,0.000,1.667,0.957,1.741,N
llama,selfish,high,high,5,5,0.667,-2.583,3.250,1.598,2.034,N
llama,permissive,none,low,4,4,5.146,2.521,2.625,1.516,1.732,N
llama,permissive,none,medium,3,3,2.333,-0.417,2.750,0.804,3.422,N
llama,permissive,none,high,5,5,2.233,-2.450,4.683,1.615,2.900,N
llama,permissive,moderate,low,4,4,5.812,2.021,3.792,2.653,1.429,N
llama,permissive,moderate,medium,3,3,3.667,0.083,3.583,1.486,2.411,N
llama,permissive,moderate,high,5,5,2.283,-3.317,5.600,2.383,2.350,N
llama,permissive,high,low,4,4,5.167,2.458,2.708,1.786,1.516,N
llama,permissive,high,medium,3,3,2.833,0.000,2.833,0.757,3.743,N
llama,permissive,high,high,5,5,-0.217,-2.583,2.367,4.056,0.584,N
